S.No,LIMS Authorized batches,Batch no.,,Item Code,Mfg Date,Strength,Potency (Assay),Content Uniformity ,,,,,,Dissolution,,,,,,,,,AQL (Physical appearance),,,,
,,,,,,(mg),(95.5 - 103.5%),(Avg % of Lab results) (95.5 - 103.5%),Std Deviation % Lab results,Acceptance Value (<=15.0),%RSD,CV % Limit,Tier,Average (>=80% (Q)),Minimum,Stage,UNIT 01,UNIT 02,UNIT 03,UNIT 04,UNIT 05,UNIT 06,No. Critical,No.Major,No. Minor,No. Non-Critical,Total
51,4M56763S-MICRO-0184405,4M56763S,,1303085,1/15/2015,60,101.8,100.6,0.9,2.3,0.94,3.1,,100,97,S1,102,99,97,101,102,99,0,0,1,2,3
52,5B82310S-MICRO-0193029,5B82310S,,1303085,2/23/2015,60,98.7,98.1,1.6,4.2,1.63,2.9,Tier 1,97,94,S1,97,94,97,99,96,97,0,0,1,3,4
53,5B82311S-MICRO-0193033,5B82311S,,1303085,2/23/2015,60,100.1,99.7,1.4,3.4,1.41,3.16,Tier 1,98,96,S1,98,99,96,96,99,97,0,0,0,0,0
54,5B82312S-MICRO-0193037,5B82312S,,1303085,2/24/2015,60,99.8,99.5,1.9,4.6,1.93,3.13,Tier 1,96,95,S1,95,98,96,96,96,95,0,0,0,0,0
55,5C90275S-MICRO-0198433,5C90275S,,1303085,4/4/2015,60,99.2,97,2.1,6.6,1.24,2.71,Tier 1,97,95,S1,98,96,97,95,99,98,0,0,0,0,0
56,5C90276S-MICRO-0198437,5C90276S,,1303085,4/5/2015,60,99.7,97,1.2,4.4,1.24,2.71,Tier 1,98,96,S1,100,99,98,98,96,98,0,0,0,0,0
57,5C90277S-MICRO-0198441,5C90277S,,1303085,4/5/2015,60,100,96.9,2,6.5,2.11,2.69,Tier 1,97,96,S1,98,98,97,96,97,98,0,0,0,0,0
58,5D83328S-MICRO-0205011,5D83328S,,1303085,5/3/2015,60,98.2,100.3,1,2.4,1,3.14,Tier 1,102,99,S1,100,102,99,102,102,103,0,0,0,3,3
59,5D83329S-MICRO-0205015,5D83329S,,1303085,5/3/2015,60,99.7,99.4,1.3,3.2,1.35,3.11,Tier 1,102,100,S1,102,102,101,100,104,102,0,0,0,0,0
60,5D83330S-MICRO-0205019,5D83330S,,1303085,5/4/2015,60,98.4,99.9,1,2.4,0.99,3.19,Tier 1,102,100,S1,100,102,102,104,102,103,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
