S.No,LIMS Batch No.,Batch No.,Mfg Date,Item Code,Alert Notice,Disso-Avg (Avg % dissolved in 30mins: 85% (Q),Disso - Min,Disso-Stage,DS -UNIT 01,DS - UNIT 02,DS - UNIT 03,DS - UNIT 04,DS - UNIT 05,DS - UNIT 06,DS - UNIT 07,DS - UNIT 08,DS - UNIT 09,DS - UNIT 10,DS - UNIT 11,DS - UNIT 12,Acceptance Value (<=15.0),CU - Percent of Label,CU - Std Deviation,Potency Assay (289.8 - 315.0 mg (mg/capsule),Total Impurities (<=0.05%),NUMBER CRITICAL,NUMBER MAJOR,NUMBER MINOR,NUMBER NONCRITICAL,TOTAL NUMBER DEFECTS
54,2K5061P-CHEM-0086955,2K5061P,,1106588A1,NO,101,100,S1,102,102,102,100,101,102,,,,,,,2.5,101.8,0.9,203.5,0.06,0,0,0,3,3
55,2K5062P-CHEM-0086959,2K5062P,,1106588A1,NO,103,101,S1,101,103,101,104,103,104,,,,,,,1.9,101.2,0.8,202.4,<0.05,0,0,0,0,0
56,2K5063P-CHEM-0086963,2K5063P,,1106588A1,NO,101,99,S1,99,103,102,102,101,102,,,,,,,2.2,101.3,0.9,202.5,0.06,0,0,0,1,1
57,2K5064P-CHEM-0086968,2K5064P,,1106588A1,NO,101,99,S1,100,101,100,101,99,103,,,,,,,3.1,101.5,1.3,202.9,0.06,0,0,0,0,0
58,2L5005P-CHEM-0088525,2L5005P,,1106588A1,NO,101,96,S1,103,103,100,101,103,96,,,,,,,2.8,101.7,1.1,203.3,0.05,0,0,0,0,0
59,2L5006P-CHEM-0088532,2L5006P,,1106588A1,NO,100,97,S1,103,98,97,102,101,102,,,,,,,4.7,101.6,1.9,203.1,0.06,0,0,0,0,0
60,2L5007P-CHEM-0088539,2L5007P,,1106588A1,NO,101,98,S1,101,101,99,98,103,102,,,,,,,3.9,102,1.4,204,0.07,0,0,0,1,1
61,2L5008P-CHEM-0088546,2L5008P,,1106588A1,NO,100,97,S1,100,98,104,101,99,97,,,,,,,3.3,102.4,1,204.7,0.06,0,0,0,0,0
62,2L5009P-CHEM-0088553,2L5009P,,1106588A1,NO,100,96,S1,101,101,96,101,102,102,,,,,,,4.9,102.3,1.7,204.6,0.07,0,0,0,0,0
63,2M5001P-CHEM-0092099,2M5001P,,1106588A1,NO,98,95,S1,96,98,100,101,97,95,,,,,,,3.1,100.9,1.3,201.8,0.06,0,0,0,2,2
64,2M5002P-CHEM-0092109,2M5002P,,1106588A1,NO,96,94,S1,96,97,94,96,100,96,,,,,,,2.4,101.2,1,202.3,<0.05,0,0,0,0,0
65,2M5004P-CHEM-0092130,2M5004P,,1106588A1,NO,101,99,S1,101,100,99,101,102,102,,,,,,,1.9,100.9,0.8,201.7,0.05,0,0,1,0,1
66,2M5005P-CHEM-0092137,2M5005P,,1106588A1,YES,102,99,S1,103,101,100,103,103,99,,,,,,,3.6,102.5,1.1,205,<0.05,0,0,0,0,0
67,2M5006P-CHEM-0092144,2M5006P,,1106588A1,NO,102,100,S1,101,102,102,102,100,102,,,,,,,3.8,101.9,1.4,203.8,0.05,0,0,1,0,1
68,2M5007P-CHEM-0092148,2M5007P,,1106588A1,NO,101,99,S1,101,102,102,102,99,99,,,,,,,3.1,101.7,1.2,203.4,<0.05,0,0,0,0,0
69,2M5008P-CHEM-0092152,2M5008P,,1106588A1,YES,100,96,S1,101,96,102,101,102,100,,,,,,,2.6,101,1.1,202.1,<0.05,0,0,0,0,0
