S.No,LIMS Batch No.,Batch No.,Mfg Date,Item Code,Alert Notice,Disso-Avg (Avg % dissolved in 30mins: 85% (Q),Disso - Min,Disso-Stage,DS -UNIT 01,DS - UNIT 02,DS - UNIT 03,DS - UNIT 04,DS - UNIT 05,DS - UNIT 06,DS - UNIT 07,DS - UNIT 08,DS - UNIT 09,DS - UNIT 10,DS - UNIT 11,DS - UNIT 12,CU - Acceptance Value (<=15.0),CU - Percent of Label,CU - Std Deviation,Potency Assay (289.8 - 315.0 mg (mg/capsule),Total Impurities (<=0.05%),NUMBER CRITICAL,NUMBER MAJOR,NUMBER MINOR,NUMBER NONCRITICAL,Total Number Defects
57,2C5014P-CHEM-0060005,2C5014P,,1196782A1,NO,100,98,S1,101,100,102,98,100,100,,,,,,,3.1,100,1.3,300,<0.05,0,0,1,2,3
58,2C5015P-CHEM-0060009,2C5015P,,1196782A1,NO,101,98,S1,98,101,100,103,101,100,,,,,,,2.6,101.1,1.1,303.3,<0.05,0,0,3,1,4
59,2D5001P-CHEM-0061683,2D5001P,,1196782A1,NO,96,92,S1,99,102,97,94,93,92,,,,,,,3.1,99.9,1.3,299.6,<0.05,0,0,0,0,0
60,2D5002P-CHEM-0061687,2D5002P,,1196782A1,NO,97,92,S1,100,99,100,95,93,92,,,,,,,1.4,100.9,0.6,302.8,<0.05,0,0,0,0,0
61,2D5003P-CHEM-0061691,2D5003P,,1196782A1,NO,95,93,S1,95,96,94,98,93,93,,,,,,,2.2,100.1,0.9,300.4,<0.05,0,0,0,0,0
62,2D5004P-CHEM-0061695,2D5004P,,1196782A1,YES,97,94,S1,101,99,97,94,97,96,,,,,,,3.3,101.9,1.2,305.6,<0.05,0,0,0,0,0
63,2D5005P-CHEM-0061699,2D5005P,,1196782A1,NO,98,95,S1,101,96,99,99,96,95,,,,,,,2.9,100.2,1.2,300.7,<0.05,0,0,0,0,0
64,2D5006P-CHEM-0061703,2D5006P,,1196782A1,NO,97,94,S1,99,100,99,95,98,94,,,,,,,1.9,101.3,0.8,303.9,<0.05,0,0,3,3,6
65,2D5007P-CHEM-0061707,2D5007P,,1196782A1,NO,96,77,S2,101,101,97,93,95,77,103,101,90,95,96,98,1.7,101.5,0.7,304.6,<0.05,0,0,1,2,3
66,2D5008P-CHEM-0061711,2D5008P,,1196782A1,YES,96,92,S1,99,100,92,97,98,92,,,,,,,1.4,99.8,0.6,299.4,<0.05,0,0,0,0,0
67,2D5110P-CHEM-0065042,2D5110P,,1196782A1,NO,98,94,S1,101,101,97,97,94,95,,,,,,,1.9,101.2,0.8,303.7,<0.05,0,0,4,2,6
68,2D5111P-CHEM-0065046,2D5111P,,1196782A1,NO,99,95,S1,101,100,101,99,95,96,,,,,,,3.7,101.8,1.4,305.5,<0.05,0,0,1,0,1
69,2D5112P-CHEM-0065050,2D5112P,,1196782A1,NO,96,87,S2,101,97,100,97,94,87,95,99,96,97,96,93,1.4,101,0.6,303,<0.05,0,2,0,0,2
70,2D5113P-CHEM-0065054,2D5113P,,1196782A1,NO,97,92,S1,100,100,99,96,95,92,,,,,,,1.4,100.6,0.6,301.7,<0.05,0,0,0,0,0
71,2D5114P-CHEM-0065058,2D5114P,,1196782A1,NO,96,93,S1,96,99,98,93,96,93,,,,,,,2.6,101.3,1.1,303.9,<0.05,0,0,0,0,0
72,2D5115P-CHEM-0065062,2D5115P,,1196782A1,NO,96,92,S1,99,99,94,96,96,92,,,,,,,1.9,101.5,0.8,304.5,<0.05,0,0,0,0,0
73,2D5116P-CHEM-0065066,2D5116P,,1196782A1,NO,98,96,S1,101,101,100,96,97,96,,,,,,,2.6,101.5,1.1,304.4,<0.05,0,0,0,0,0
74,2D5117P-CHEM-0065070,2D5117P,,1196782A1,NO,97,93,S1,99,102,97,97,95,93,,,,,,,1.9,101.2,0.8,303.7,<0.05,0,0,0,0,0
75,2D5135P-CHEM-0065944,2D5135P,,1196782A1,YES,98,96,S1,99,99,99,97,96,96,,,,,,,1.4,101.5,0.6,304.5,<0.05,0,0,0,0,0
