x,cv,s
111.9,1.120643432,1.001468661
112,1.095535714,0.978156888
112.1,1.070472792,0.954926665
112.2,1.045454545,0.931777669
112.3,1.019590383,0.907916637
112.4,0.994661922,0.884930536
112.5,0.969777778,0.862024692
112.6,0.944049734,0.838410066
112.7,0.919254658,0.81566518
112.8,0.894503546,0.792999598
112.9,0.86979628,0.770413003
113,0.844247788,0.747121936
113.1,0.819628647,0.724693764
113.2,0.795053004,0.702343643
113.3,0.769638129,0.679292259
113.4,0.745149912,0.657098688
113.5,0.720704846,0.634982243
113.6,0.696302817,0.612942621
113.7,0.671064204,0.590205984
113.8,0.646748682,0.568320459
113.9,0.622475856,0.546510848
114,0.597368421,0.524007387
114.1,0.57318142,0.502350061
114.2,0.549036778,0.480767757
114.3,0.524934383,0.459260178
114.4,0.5,0.437062937
114.5,0.475982533,0.415705269
114.6,0.452006981,0.394421449
114.7,0.427201395,0.372451085
114.8,0.403310105,0.351315422
114.9,0.3794604,0.330252742
